ZipCode,AssessTot,LandUse,Address,MaxValues,,,,,,
10001,4095000,5,13 WEST 28 STREET,,,,,,,
10001,4054050,4,328 8 AVENUE,,,,,,,
10001,4045500,5,250 5 AVENUE,,,,,,,
10001,4021200,4,2 WEST 32 STREET,,,,,,,
10001,4016701,4,408 8 AVENUE,,,,,,,
10001,4015350,5,22 WEST 27 STREET,,,,,,,
10001,3968100,5,553 WEST 25 STREET,,,,,,,
10001,3951450,3,231 WEST 25 STREET,,,,,,,
10001,3944250,6,134 WEST 25 STREET,,,,,,,
10001,3924450,4,229 9 AVENUE,,,,,,,
10001,3920850,8,204 WEST 31 STREET,,,,,,,
10001,3919950,9,430 WEST 25 STREET,,,,,,,
10001,3900600,5,530 WEST 27 STREET,,,,,,,
10001,3842550,6,152 WEST 25 STREET,,,,,,,
10001,3829050,6,133 WEST 25 STREET,,,,,,,
10001,3795300,6,155 WEST 29 STREET,,,,,,,
10001,3795300,5,12 WEST 31 STREET,,,,,,,
10001,3746700,5,141 WEST 28 STREET,,,,,,,
10001,3745350,6,315 WEST 35 STREET,,,,,,,
10001,3742200,5,842 AVENUE OF THE AMER,,,,,,,
10001,3732750,4,319 10 AVENUE,,,,,,,
10001,3732750,4,323 10 AVENUE,,,,,,,
10001,3715200,4,49 WEST 33 STREET,,,,,,,
10001,3709800,11,524 WEST 34 STREET,,,,,,,
10001,3685050,5,250 WEST 26 STREET,,,,,,,
10001,3662550,3,314 WEST 30 STREET,,,,,,,
10001,3640500,5,227 WEST 29 STREET,,,,,,,
10001,3623400,7,220 11 AVENUE,,,,,,,
10001,3586050,6,147 WEST 25 STREET,,,,,,,
10001,3579750,5,34 WEST 32 STREET,,,,,,,
10001,3568950,5,134 WEST 34 STREET,,,,,,,
10001,3564450,6,130 WEST 29 STREET,,,,,,,
10001,3560850,5,12 WEST 32 STREET,,,,,,,
10001,3553200,10,140 WEST 28 STREET,,,,,,,
10001,3546000,5,43 WEST 33 STREET,,,,,,,
10001,3537450,3,131 WEST 28 STREET,,,,,,,
10001,3519900,5,298 5 AVENUE,,,,,,,
10001,3514500,6,507 WEST 33 STREET,,,,,,,
10001,3502800,5,1181 BROADWAY,,,,,,,
10001,3500550,8,137 WEST 31 STREET,,,,,,,
10001,3451500,5,224 WEST 29 STREET,,,,,,,
10001,3394350,4,355 7 AVENUE,,,,,,,
10001,3376350,3,327 WEST 30 STREET,,,,,,,
10001,3371850,5,416 8 AVENUE,,,,,,,
10001,3369600,5,397 8 AVENUE,,,,,,,
10001,3364650,10,435 10 AVENUE,,,,,,,
10001,3359700,4,126 WEST 34 STREET,,,,,,,
10001,3349800,8,341 WEST 25 STREET,,,,,,,
10001,3277800,5,109 WEST 27 STREET,,,,,,,
10001,3268350,6,164 WEST 25 STREET,,,,,,,
10001,3259800,3,31 WEST 31 STREET,,,,,,,
10001,3257100,5,243 WEST 30 STREET,,,,,,,
10001,3239552,4,145 WEST 27 STREET,,,,,,,
10001,3231900,3,313 WEST 30 STREET,,,,,,,
10001,3213450,4,239 10 AVENUE,,,,,,,
10001,3195000,5,105 WEST 28 STREET,,,,,,,
10001,3176100,10,354 10 AVENUE,,,,,,,
10001,3138686,4,221 WEST 29 STREET,,,,,,,
10001,3138686,4,219 WEST 29 STREET,,,,,,,
10001,3133350,5,36 WEST 29 STREET,,,,,,,
10001,3129750,5,1330 BROADWAY,,,,,,,
10001,3128400,5,838 AVENUE OF THE AMER,,,,,,,
10001,3114000,6,253 WEST 28 STREET,,,,,,,
10001,3112650,10,511 WEST 35 STREET,,,,,,,
10001,3101850,8,252 WEST 29 STREET,,,,,,,
10001,3061350,7,163 12 AVENUE,,,,,,,
10001,3043800,5,1178 BROADWAY,,,,,,,
10001,3030300,5,13 WEST 27 STREET,,,,,,,
10001,3019950,11,3 WEST 29 STREET,,,,,,,
10001,3005456,5,261 WEST 34 STREET,,,,,,,
10001,2997450,5,45 WEST 29 STREET,,,,,,,
10001,2968181,4,50 WEST 30 STREET,,,,,,,
10001,2956500,4,24 WEST 30 STREET,,,,,,,
10001,2953350,5,23 WEST 32 STREET,,,,,,,
10001,2915100,9,1 HERALD SQUARE,,,,,,,
10001,2910600,5,207 WEST 28 STREET,,,,,,,
10001,2908350,6,118 WEST 27 STREET,,,,,,,
10001,2905200,3,146 WEST 28 STREET,,,,,,,
10001,2900250,5,306 5 AVENUE,,,,,,,
10001,2871000,5,122 WEST 30 STREET,,,,,,,
10001,2864250,8,120 WEST 30 STREET,,,,,,,
10001,2855957,5,246 5 AVENUE,,,,,,,
10001,2830050,7,199 12 AVENUE,,,,,,,
10001,2828700,5,866 AVENUE OF THE AMER,,,,,,,
10001,2809800,5,342 7 AVENUE,,,,,,,
10001,2803950,3,283 7 AVENUE,,,,,,,
10001,2767498,4,143 WEST 30 STREET,,,,,,,
10001,2757600,5,304 5 AVENUE,,,,,,,
10001,2739150,5,211 WEST 34 STREET,,,,,,,
10001,2718000,4,26 WEST 28 STREET,,,,,,,
10001,2684250,4,1263 BROADWAY,,,,,,,
10001,2673450,5,1158 BROADWAY,,,,,,,
10001,2668500,4,111 WEST 28 STREET,,,,,,,
10001,2656800,5,429 7 AVENUE,,,,,,,
10001,2613600,5,128 WEST 34 STREET,,,,,,,
10001,2609550,5,423 9 AVENUE,,,,,,,
10001,2609100,6,45 WEST 27 STREET,,,,,,,
10001,2571300,5,244 5 AVENUE,,,,,,,
10001,2570400,4,515 WEST 29 STREET,,,,,,,
10001,2559150,4,431 7 AVENUE,,,,,,,
10001,2510550,3,412 WEST 25 STREET,,,,,,,
10001,2497050,3,345 WEST 30 STREET,,,,,,,
10001,2464650,10,550 WEST 25 STREET,,,,,,,
10001,2462400,5,32 WEST 32 STREET,,,,,,,
10001,2458350,3,337 WEST 30 STREET,,,,,,,
10001,2434500,6,517 WEST 29 STREET,,,,,,,
10001,2418300,6,35 WEST 31 STREET,,,,,,,
10001,2398050,5,314 5 AVENUE,,,,,,,
10001,2385450,6,510 WEST 27 STREET,,,,,,,
10001,2376450,5,490 8 AVENUE,,,,,,,
10001,2367900,5,18 WEST 27 STREET,,,,,,,
10001,2346480,4,546 WEST 29 STREET,,,,,,,
10001,2340450,11,1185 BROADWAY,,,,,,,
10001,2332350,8,298 9 AVENUE,,,,,,,
10001,2325600,4,30 WEST 32 STREET,,,,,,,
