ZipCode,AssessTot,LandUse
10002,20672550,4
10002,20399850,8
10002,20394000,5
10002,18612000,3
10002,18351450,9
10002,18030600,3
10002,17654400,11
10002,17430300,3
10002,17291700,5
10002,17061300,8
10002,17022600,4
10002,16398450,3
10002,16170300,3
10002,15967800,8
10002,15381900,3
10002,14918850,6
10002,14736150,3
10002,14720400,3
10002,14350050,8
10002,14275800,4
10002,13793850,5
10002,13236750,8
10002,13140900,5
10002,12914550,3
10002,12628800,8
10002,12468150,3
10002,11807100,9
10002,11720250,4
10002,11682000,3
10002,10901250,8
10002,10611450,3
10002,10495800,8
10002,10269000,8
10002,10171350,8
10002,10169100,3
10002,10019250,3
10002,9937800,8
10002,9847800,3
10002,9844650,8
10002,9497250,5
10002,9387900,5
10002,9209700,9
10002,9059400,3
10002,8998209,4
10002,8948700,3
10002,8941500,5
10002,8932500,5
10002,8803800,8
10002,8800200,9
10002,8771224,4
10002,8645108,4
10002,8244450,3
10002,8089200,5
10002,8035650,4
10002,7570350,3
10002,7526700,9
10002,7449750,9
10002,7202700,5
10002,7198168,4
10002,7141050,10
10002,7141050,10
10002,6957000,5
10002,6945744,3
10002,6817952,4
10002,6750898,3
10002,6732450,3
10002,6706796,2
10002,6686100,3
10002,6629420,4
10002,6490800,3
10002,6297750,7
10002,6286950,3
10002,6278397,4
10002,6261710,4
10002,6079950,8
10002,6045310,5
10002,6033153,4
10002,6028004,4
10002,6021900,3
10002,5801850,3
10002,5738850,10
10002,5701050,8
10002,5644800,9
10002,5635800,10
10002,5467507,4
10002,5349600,8
10002,5329350,3
10002,5184450,8
10002,4939205,5
10002,4917600,4
10002,4815450,5
10002,4785749,4
10002,4759338,4
10002,4707000,
10002,4700700,4
10002,4659979,4
10002,4648170,5
10002,4595850,4
10002,4586400,7
10002,4520250,4
10002,4450950,2
10002,4421250,4
10002,4413600,5
10002,4408200,5
10002,4320000,4
10002,4302000,3
10002,4286250,8
10002,4276440,4
10002,4257899,4
10002,4226400,8
10002,4195350,8
10002,4194900,3
10002,4192200,8
10002,4178250,3
10002,4130100,4
10002,4078800,11
10002,4042350,3
10002,3997351,4
10002,3901050,4
10002,3863250,6
10002,3861450,8
10002,3849750,5
10002,3849300,4
10002,3829500,4
10002,3820948,4
10002,3819150,3
10002,3774150,3
10002,3771000,5
10002,3753000,5
10002,3728250,5
10002,3710250,5
10002,3675600,3
10002,3555000,2
10002,3547800,4
